Fecha;Energía Activa;Energía Reactiva;Potencia Activa
01-10-2024 00:15;156;40.8;624
01-10-2024 00:30;148.8;36;595.2
01-10-2024 00:45;144;33.6;576
01-10-2024 01:00;144;36;576
01-10-2024 01:15;136.8;36;547.2
01-10-2024 01:30;132;38.4;528
01-10-2024 01:45;132;36;528
01-10-2024 02:00;127.2;36;508.8
01-10-2024 02:15;127.2;38.4;508.8
01-10-2024 02:30;124.8;36;499.2
01-10-2024 02:45;120;36;480
01-10-2024 03:00;120;38.4;480
01-10-2024 03:15;117.6;33.6;470.4
01-10-2024 03:30;117.6;33.6;470.4
01-10-2024 03:45;117.6;33.6;470.4
01-10-2024 04:00;115.2;33.6;460.8
01-10-2024 04:15;112.8;31.2;451.2
01-10-2024 04:30;112.8;31.2;451.2
01-10-2024 04:45;115.2;33.6;460.8
01-10-2024 05:00;112.8;31.2;451.2
01-10-2024 05:15;112.8;28.8;451.2
01-10-2024 05:30;115.2;31.2;460.8
01-10-2024 05:45;112.8;31.2;451.2
01-10-2024 06:00;122.4;33.6;489.6
01-10-2024 06:15;120;31.2;480
01-10-2024 06:30;122.4;33.6;489.6
01-10-2024 06:45;112.8;33.6;451.2
01-10-2024 07:00;108;33.6;432
01-10-2024 07:15;115.2;38.4;460.8
01-10-2024 07:30;117.6;38.4;470.4
01-10-2024 07:45;115.2;40.8;460.8
01-10-2024 08:00;117.6;40.8;470.4
01-10-2024 08:15;120;40.8;480
01-10-2024 08:30;127.2;45.6;508.8
01-10-2024 08:45;129.6;48;518.4
01-10-2024 09:00;129.6;45.6;518.4
01-10-2024 09:15;127.2;43.2;508.8
01-10-2024 09:30;132;48;528
01-10-2024 09:45;136.8;45.6;547.2
01-10-2024 10:00;139.2;48;556.8
01-10-2024 10:15;136.8;45.6;547.2
01-10-2024 10:30;139.2;50.4;556.8
01-10-2024 10:45;139.2;48;556.8
01-10-2024 11:00;141.6;52.8;566.4
01-10-2024 11:15;144;52.8;576
01-10-2024 11:30;146.4;50.4;585.6
01-10-2024 11:45;141.6;48;566.4
01-10-2024 12:00;144;50.4;576
01-10-2024 12:15;144;48;576
01-10-2024 12:30;148.8;50.4;595.2
01-10-2024 12:45;151.2;52.8;604.8
01-10-2024 13:00;144;50.4;576
01-10-2024 13:15;141.6;52.8;566.4
01-10-2024 13:30;139.2;48;556.8
01-10-2024 13:45;146.4;50.4;585.6
01-10-2024 14:00;141.6;48;566.4
01-10-2024 14:15;141.6;48;566.4
01-10-2024 14:30;146.4;48;585.6
01-10-2024 14:45;146.4;48;585.6
01-10-2024 15:00;148.8;52.8;595.2
01-10-2024 15:15;148.8;55.2;595.2
01-10-2024 15:30;153.6;55.2;614.4
01-10-2024 15:45;156;55.2;624
01-10-2024 16:00;156;52.8;624
01-10-2024 16:15;153.6;52.8;614.4
01-10-2024 16:30;148.8;48;595.2
01-10-2024 16:45;151.2;50.4;604.8
01-10-2024 17:00;148.8;50.4;595.2
01-10-2024 17:15;148.8;50.4;595.2
01-10-2024 17:30;146.4;45.6;585.6
01-10-2024 17:45;153.6;48;614.4
01-10-2024 18:00;151.2;48;604.8
01-10-2024 18:15;151.2;48;604.8
01-10-2024 18:30;153.6;50.4;614.4
01-10-2024 18:45;151.2;48;604.8
01-10-2024 19:00;160.8;48;643.2
01-10-2024 19:15;165.6;43.2;662.4
01-10-2024 19:30;180;40.8;720
01-10-2024 19:45;182.4;38.4;729.6
01-10-2024 20:00;189.6;40.8;758.4
01-10-2024 20:15;192;38.4;768
01-10-2024 20:30;192;38.4;768
01-10-2024 20:45;194.4;38.4;777.6
01-10-2024 21:00;199.2;38.4;796.8
01-10-2024 21:15;192;38.4;768
01-10-2024 21:30;189.6;36;758.4
01-10-2024 21:45;187.2;38.4;748.8
01-10-2024 22:00;180;31.2;720
01-10-2024 22:15;172.8;33.6;691.2
01-10-2024 22:30;172.8;31.2;691.2
01-10-2024 22:45;168;31.2;672
01-10-2024 23:00;160.8;28.8;643.2
01-10-2024 23:15;158.4;31.2;633.6
01-10-2024 23:30;151.2;31.2;604.8
01-10-2024 23:45;141.6;31.2;566.4
