Fecha;Energía Activa;Energía Reactiva;Potencia Activa
01-04-2025 00:15;146.4;45.6;585.6
01-04-2025 00:30;141.6;50.4;566.4
01-04-2025 00:45;136.8;40.8;547.2
01-04-2025 01:00;129.6;43.2;518.4
01-04-2025 01:15;127.2;43.2;508.8
01-04-2025 01:30;122.4;40.8;489.6
01-04-2025 01:45;120;38.4;480
01-04-2025 02:00;115.2;33.6;460.8
01-04-2025 02:15;117.6;38.4;470.4
01-04-2025 02:30;115.2;38.4;460.8
01-04-2025 02:45;112.8;38.4;451.2
01-04-2025 03:00;110.4;33.6;441.6
01-04-2025 03:15;110.4;33.6;441.6
01-04-2025 03:30;110.4;36;441.6
01-04-2025 03:45;110.4;33.6;441.6
01-04-2025 04:00;105.6;31.2;422.4
01-04-2025 04:15;110.4;33.6;441.6
01-04-2025 04:30;108;33.6;432
01-04-2025 04:45;108;31.2;432
01-04-2025 05:00;110.4;33.6;441.6
01-04-2025 05:15;110.4;33.6;441.6
01-04-2025 05:30;120;36;480
01-04-2025 05:45;117.6;33.6;470.4
01-04-2025 06:00;124.8;38.4;499.2
01-04-2025 06:15;127.2;38.4;508.8
01-04-2025 06:30;134.4;31.2;537.6
01-04-2025 06:45;141.6;33.6;566.4
01-04-2025 07:00;146.4;33.6;585.6
01-04-2025 07:15;134.4;40.8;537.6
01-04-2025 07:30;124.8;40.8;499.2
01-04-2025 07:45;124.8;43.2;499.2
01-04-2025 08:00;122.4;43.2;489.6
01-04-2025 08:15;132;45.6;528
01-04-2025 08:30;146.4;60;585.6
01-04-2025 08:45;156;64.8;624
01-04-2025 09:00;153.6;62.4;614.4
01-04-2025 09:15;158.4;67.2;633.6
01-04-2025 09:30;160.8;64.8;643.2
01-04-2025 09:45;156;64.8;624
01-04-2025 10:00;158.4;62.4;633.6
01-04-2025 10:15;160.8;62.4;643.2
01-04-2025 10:30;163.2;62.4;652.8
01-04-2025 10:45;163.2;64.8;652.8
01-04-2025 11:00;163.2;64.8;652.8
01-04-2025 11:15;165.6;67.2;662.4
01-04-2025 11:30;170.4;64.8;681.6
01-04-2025 11:45;165.6;67.2;662.4
01-04-2025 12:00;163.2;64.8;652.8
01-04-2025 12:15;163.2;67.2;652.8
01-04-2025 12:30;165.6;67.2;662.4
01-04-2025 12:45;168;69.6;672
01-04-2025 13:00;175.2;72;700.8
01-04-2025 13:15;168;74.4;672
01-04-2025 13:30;163.2;72;652.8
01-04-2025 13:45;165.6;72;662.4
01-04-2025 14:00;160.8;67.2;643.2
01-04-2025 14:15;163.2;67.2;652.8
01-04-2025 14:30;160.8;67.2;643.2
01-04-2025 14:45;160.8;69.6;643.2
01-04-2025 15:00;160.8;64.8;643.2
01-04-2025 15:15;151.2;67.2;604.8
01-04-2025 15:30;153.6;67.2;614.4
01-04-2025 15:45;153.6;67.2;614.4
01-04-2025 16:00;139.2;55.2;556.8
01-04-2025 16:15;139.2;55.2;556.8
01-04-2025 16:30;141.6;55.2;566.4
01-04-2025 16:45;141.6;52.8;566.4
01-04-2025 17:00;146.4;55.2;585.6
01-04-2025 17:15;146.4;55.2;585.6
01-04-2025 17:30;148.8;52.8;595.2
01-04-2025 17:45;151.2;52.8;604.8
01-04-2025 18:00;158.4;50.4;633.6
01-04-2025 18:15;160.8;50.4;643.2
01-04-2025 18:30;170.4;50.4;681.6
01-04-2025 18:45;172.8;52.8;691.2
01-04-2025 19:00;192;48;768
01-04-2025 19:15;201.6;48;806.4
01-04-2025 19:30;204;43.2;816
01-04-2025 19:45;208.8;40.8;835.2
01-04-2025 20:00;211.2;40.8;844.8
01-04-2025 20:15;216;43.2;864
01-04-2025 20:30;213.6;40.8;854.4
01-04-2025 20:45;216;40.8;864
01-04-2025 21:00;206.4;40.8;825.6
01-04-2025 21:15;208.8;43.2;835.2
01-04-2025 21:30;208.8;43.2;835.2
01-04-2025 21:45;211.2;43.2;844.8
01-04-2025 22:00;201.6;43.2;806.4
01-04-2025 22:15;194.4;40.8;777.6
01-04-2025 22:30;187.2;43.2;748.8
01-04-2025 22:45;175.2;31.2;700.8
01-04-2025 23:00;172.8;31.2;691.2
01-04-2025 23:15;170.4;33.6;681.6
01-04-2025 23:30;165.6;33.6;662.4
01-04-2025 23:45;158.4;31.2;633.6
02-04-2025 00:00;153.6;31.2;614.4
02-04-2025 00:15;146.4;28.8;585.6
02-04-2025 00:30;144;28.8;576
02-04-2025 00:45;141.6;28.8;566.4
02-04-2025 01:00;134.4;28.8;537.6
02-04-2025 01:15;129.6;31.2;518.4
02-04-2025 01:30;124.8;28.8;499.2
02-04-2025 01:45;122.4;28.8;489.6
02-04-2025 02:00;117.6;28.8;470.4
02-04-2025 02:15;117.6;28.8;470.4
02-04-2025 02:30;117.6;28.8;470.4
02-04-2025 02:45;117.6;26.4;470.4
02-04-2025 03:00;115.2;31.2;460.8
02-04-2025 03:15;115.2;28.8;460.8
02-04-2025 03:30;112.8;28.8;451.2
02-04-2025 03:45;112.8;26.4;451.2
02-04-2025 04:00;110.4;26.4;441.6
02-04-2025 04:15;115.2;28.8;460.8
02-04-2025 04:30;112.8;28.8;451.2
02-04-2025 04:45;115.2;26.4;460.8
02-04-2025 05:00;112.8;28.8;451.2
02-04-2025 05:15;112.8;28.8;451.2
02-04-2025 05:30;112.8;28.8;451.2
02-04-2025 05:45;110.4;28.8;441.6
02-04-2025 06:00;110.4;28.8;441.6
02-04-2025 06:15;115.2;26.4;460.8
02-04-2025 06:30;117.6;28.8;470.4
02-04-2025 06:45;117.6;28.8;470.4
02-04-2025 07:00;117.6;26.4;470.4
02-04-2025 07:15;110.4;31.2;441.6
02-04-2025 07:30;103.2;33.6;412.8
02-04-2025 07:45;100.8;33.6;403.2
02-04-2025 08:00;105.6;36;422.4
02-04-2025 08:15;110.4;36;441.6
02-04-2025 08:30;120;33.6;480
02-04-2025 08:45;120;36;480
02-04-2025 09:00;129.6;40.8;518.4
02-04-2025 09:15;129.6;40.8;518.4
02-04-2025 09:30;129.6;40.8;518.4
02-04-2025 09:45;132;40.8;528
02-04-2025 10:00;139.2;40.8;556.8
02-04-2025 10:15;144;45.6;576
02-04-2025 10:30;144;45.6;576
02-04-2025 10:45;141.6;43.2;566.4
02-04-2025 11:00;144;48;576
02-04-2025 11:15;141.6;45.6;566.4
02-04-2025 11:30;148.8;50.4;595.2
02-04-2025 11:45;144;45.6;576
02-04-2025 12:00;139.2;45.6;556.8
02-04-2025 12:15;144;48;576
02-04-2025 12:30;146.4;52.8;585.6
02-04-2025 12:45;148.8;55.2;595.2
02-04-2025 13:00;151.2;55.2;604.8
02-04-2025 13:15;148.8;52.8;595.2
02-04-2025 13:30;148.8;55.2;595.2
