Fecha;Energía Activa;Energía Reactiva;Potencia Activa
01-10-2025 00:15;151.2;33.6;604.8
01-10-2025 00:30;146.4;36;585.6
01-10-2025 00:45;139.2;36;556.8
01-10-2025 01:00;139.2;38.4;556.8
01-10-2025 01:15;134.4;36;537.6
01-10-2025 01:30;129.6;38.4;518.4
01-10-2025 01:45;127.2;38.4;508.8
01-10-2025 02:00;127.2;38.4;508.8
01-10-2025 02:15;122.4;38.4;489.6
01-10-2025 02:30;120;31.2;480
01-10-2025 02:45;120;33.6;480
01-10-2025 03:00;117.6;31.2;470.4
01-10-2025 03:15;115.2;33.6;460.8
01-10-2025 03:30;117.6;33.6;470.4
01-10-2025 03:45;117.6;33.6;470.4
01-10-2025 04:00;112.8;31.2;451.2
01-10-2025 04:15;115.2;31.2;460.8
01-10-2025 04:30;112.8;31.2;451.2
01-10-2025 04:45;115.2;28.8;460.8
01-10-2025 05:00;115.2;31.2;460.8
01-10-2025 05:15;117.6;31.2;470.4
01-10-2025 05:30;115.2;31.2;460.8
01-10-2025 05:45;122.4;31.2;489.6
01-10-2025 06:00;124.8;33.6;499.2
01-10-2025 06:15;127.2;33.6;508.8
01-10-2025 06:30;132;33.6;528
01-10-2025 06:45;122.4;38.4;489.6
01-10-2025 07:00;127.2;40.8;508.8
01-10-2025 07:15;122.4;38.4;489.6
01-10-2025 07:30;122.4;33.6;489.6
01-10-2025 07:45;124.8;38.4;499.2
01-10-2025 08:00;124.8;40.8;499.2
01-10-2025 08:15;132;43.2;528
01-10-2025 08:30;134.4;48;537.6
01-10-2025 08:45;136.8;48;547.2
01-10-2025 09:00;139.2;48;556.8
01-10-2025 09:15;139.2;50.4;556.8
01-10-2025 09:30;144;52.8;576
01-10-2025 09:45;144;52.8;576
01-10-2025 10:00;141.6;48;566.4
01-10-2025 10:15;136.8;48;547.2
01-10-2025 10:30;139.2;50.4;556.8
01-10-2025 10:45;144;50.4;576
01-10-2025 11:00;151.2;50.4;604.8
01-10-2025 11:15;148.8;52.8;595.2
01-10-2025 11:30;156;57.6;624
01-10-2025 11:45;156;55.2;624
01-10-2025 12:00;151.2;55.2;604.8
01-10-2025 12:15;156;52.8;624
01-10-2025 12:30;158.4;55.2;633.6
01-10-2025 12:45;156;55.2;624
01-10-2025 13:00;153.6;57.6;614.4
01-10-2025 13:15;156;62.4;624
01-10-2025 13:30;148.8;55.2;595.2
01-10-2025 13:45;151.2;57.6;604.8
01-10-2025 14:00;151.2;55.2;604.8
01-10-2025 14:15;153.6;55.2;614.4
01-10-2025 14:30;151.2;55.2;604.8
01-10-2025 14:45;148.8;55.2;595.2
01-10-2025 15:00;146.4;52.8;585.6
01-10-2025 15:15;141.6;52.8;566.4
01-10-2025 15:30;146.4;55.2;585.6
01-10-2025 15:45;144;55.2;576
01-10-2025 16:00;139.2;55.2;556.8
01-10-2025 16:15;144;55.2;576
01-10-2025 16:30;146.4;55.2;585.6
01-10-2025 16:45;144;55.2;576
01-10-2025 17:00;144;55.2;576
01-10-2025 17:15;153.6;55.2;614.4
01-10-2025 17:30;156;55.2;624
01-10-2025 17:45;158.4;52.8;633.6
01-10-2025 18:00;158.4;52.8;633.6
01-10-2025 18:15;165.6;52.8;662.4
01-10-2025 18:30;168;55.2;672
01-10-2025 18:45;172.8;48;691.2
01-10-2025 19:00;182.4;48;729.6
01-10-2025 19:15;196.8;45.6;787.2
01-10-2025 19:30;218.4;38.4;873.6
01-10-2025 19:45;220.8;38.4;883.2
01-10-2025 20:00;228;38.4;912
01-10-2025 20:15;240;38.4;960
01-10-2025 20:30;244.8;38.4;979.2
01-10-2025 20:45;242.4;38.4;969.6
01-10-2025 21:00;244.8;38.4;979.2
01-10-2025 21:15;240;36;960
01-10-2025 21:30;240;36;960
01-10-2025 21:45;235.2;36;940.8
01-10-2025 22:00;242.4;38.4;969.6
01-10-2025 22:15;228;36;912
01-10-2025 22:30;204;36;816
01-10-2025 22:45;196.8;33.6;787.2
01-10-2025 23:00;187.2;36;748.8
01-10-2025 23:15;182.4;36;729.6
01-10-2025 23:30;175.2;33.6;700.8
01-10-2025 23:45;170.4;36;681.6
02-10-2025 00:00;160.8;33.6;643.2
02-10-2025 00:15;146.4;33.6;585.6
02-10-2025 00:30;141.6;33.6;566.4
02-10-2025 00:45;139.2;36;556.8
02-10-2025 01:00;134.4;33.6;537.6
02-10-2025 01:15;132;31.2;528
02-10-2025 01:30;127.2;31.2;508.8
02-10-2025 01:45;124.8;33.6;499.2
02-10-2025 02:00;122.4;33.6;489.6
02-10-2025 02:15;120;33.6;480
02-10-2025 02:30;120;33.6;480
02-10-2025 02:45;117.6;28.8;470.4
02-10-2025 03:00;117.6;31.2;470.4
02-10-2025 03:15;117.6;31.2;470.4
02-10-2025 03:30;117.6;33.6;470.4
02-10-2025 03:45;117.6;31.2;470.4
02-10-2025 04:00;117.6;33.6;470.4
02-10-2025 04:15;117.6;31.2;470.4
02-10-2025 04:30;117.6;31.2;470.4
02-10-2025 04:45;115.2;31.2;460.8
02-10-2025 05:00;112.8;31.2;451.2
02-10-2025 05:15;117.6;33.6;470.4
02-10-2025 05:30;117.6;31.2;470.4
02-10-2025 05:45;122.4;31.2;489.6
02-10-2025 06:00;129.6;33.6;518.4
02-10-2025 06:15;134.4;33.6;537.6
02-10-2025 06:30;134.4;31.2;537.6
02-10-2025 06:45;132;36;528
02-10-2025 07:00;124.8;36;499.2
02-10-2025 07:15;124.8;43.2;499.2
02-10-2025 07:30;132;43.2;528
02-10-2025 07:45;136.8;48;547.2
02-10-2025 08:00;141.6;48;566.4
02-10-2025 08:15;146.4;45.6;585.6
02-10-2025 08:30;117.6;45.6;470.4
02-10-2025 08:45;0;0;0
02-10-2025 09:00;0;0;0
02-10-2025 09:15;0;0;0
02-10-2025 09:30;84;24;336
02-10-2025 09:45;175.2;64.8;700.8
02-10-2025 10:00;170.4;64.8;681.6
02-10-2025 10:15;160.8;55.2;643.2
02-10-2025 10:30;158.4;55.2;633.6
02-10-2025 10:45;156;52.8;624
02-10-2025 11:00;163.2;55.2;652.8
02-10-2025 11:15;168;64.8;672
02-10-2025 11:30;172.8;64.8;691.2
02-10-2025 11:45;168;62.4;672
02-10-2025 12:00;165.6;62.4;662.4
02-10-2025 12:15;160.8;60;643.2
02-10-2025 12:30;163.2;62.4;652.8
02-10-2025 12:45;168;60;672
02-10-2025 13:00;170.4;64.8;681.6
02-10-2025 13:15;165.6;64.8;662.4
02-10-2025 13:30;160.8;62.4;643.2
02-10-2025 13:45;163.2;57.6;652.8
02-10-2025 14:00;163.2;60;652.8
02-10-2025 14:15;165.6;62.4;662.4
02-10-2025 14:30;168;60;672
02-10-2025 14:45;158.4;57.6;633.6
02-10-2025 15:00;158.4;57.6;633.6
02-10-2025 15:15;160.8;60;643.2
02-10-2025 15:30;158.4;55.2;633.6
02-10-2025 15:45;156;55.2;624
02-10-2025 16:00;153.6;52.8;614.4
02-10-2025 16:15;158.4;55.2;633.6
