Fecha;Energía Activa;Energía Reactiva;Potencia Activa
01-06-2025 00:15;244.8;28.8;979.2
01-06-2025 00:30;232.8;26.4;931.2
01-06-2025 00:45;223.2;26.4;892.8
01-06-2025 01:00;220.8;26.4;883.2
01-06-2025 01:15;216;26.4;864
01-06-2025 01:30;213.6;28.8;854.4
01-06-2025 01:45;204;24;816
01-06-2025 02:00;189.6;24;758.4
01-06-2025 02:15;189.6;26.4;758.4
01-06-2025 02:30;187.2;26.4;748.8
01-06-2025 02:45;182.4;26.4;729.6
01-06-2025 03:00;175.2;21.6;700.8
01-06-2025 03:15;177.6;26.4;710.4
01-06-2025 03:30;177.6;26.4;710.4
01-06-2025 03:45;175.2;24;700.8
01-06-2025 04:00;175.2;26.4;700.8
01-06-2025 04:15;175.2;21.6;700.8
01-06-2025 04:30;175.2;24;700.8
01-06-2025 04:45;175.2;24;700.8
01-06-2025 05:00;177.6;24;710.4
01-06-2025 05:15;170.4;24;681.6
01-06-2025 05:30;168;19.2;672
01-06-2025 05:45;172.8;24;691.2
01-06-2025 06:00;172.8;24;691.2
01-06-2025 06:15;175.2;21.6;700.8
01-06-2025 06:30;172.8;21.6;691.2
01-06-2025 06:45;177.6;24;710.4
01-06-2025 07:00;177.6;21.6;710.4
01-06-2025 07:15;180;21.6;720
01-06-2025 07:30;184.8;21.6;739.2
01-06-2025 07:45;180;19.2;720
01-06-2025 08:00;168;24;672
01-06-2025 08:15;168;26.4;672
01-06-2025 08:30;175.2;26.4;700.8
01-06-2025 08:45;184.8;28.8;739.2
01-06-2025 09:00;199.2;28.8;796.8
01-06-2025 09:15;208.8;28.8;835.2
01-06-2025 09:30;213.6;28.8;854.4
01-06-2025 09:45;220.8;31.2;883.2
01-06-2025 10:00;223.2;28.8;892.8
01-06-2025 10:15;225.6;31.2;902.4
01-06-2025 10:30;220.8;33.6;883.2
01-06-2025 10:45;223.2;31.2;892.8
01-06-2025 11:00;216;31.2;864
01-06-2025 11:15;218.4;33.6;873.6
01-06-2025 11:30;220.8;36;883.2
01-06-2025 11:45;208.8;36;835.2
01-06-2025 12:00;201.6;36;806.4
01-06-2025 12:15;194.4;33.6;777.6
01-06-2025 12:30;201.6;38.4;806.4
01-06-2025 12:45;199.2;38.4;796.8
01-06-2025 13:00;192;38.4;768
01-06-2025 13:15;182.4;36;729.6
01-06-2025 13:30;182.4;38.4;729.6
01-06-2025 13:45;182.4;38.4;729.6
01-06-2025 14:00;175.2;38.4;700.8
01-06-2025 14:15;172.8;40.8;691.2
01-06-2025 14:30;168;38.4;672
01-06-2025 14:45;165.6;40.8;662.4
01-06-2025 15:00;165.6;38.4;662.4
01-06-2025 15:15;168;40.8;672
01-06-2025 15:30;165.6;38.4;662.4
01-06-2025 15:45;163.2;40.8;652.8
01-06-2025 16:00;163.2;38.4;652.8
01-06-2025 16:15;168;43.2;672
01-06-2025 16:30;168;38.4;672
01-06-2025 16:45;172.8;38.4;691.2
01-06-2025 17:00;175.2;40.8;700.8
01-06-2025 17:15;182.4;40.8;729.6
01-06-2025 17:30;192;38.4;768
01-06-2025 17:45;201.6;38.4;806.4
01-06-2025 18:00;201.6;38.4;806.4
01-06-2025 18:15;220.8;38.4;883.2
01-06-2025 18:30;249.6;28.8;998.4
01-06-2025 18:45;261.6;26.4;1046.4
01-06-2025 19:00;273.6;31.2;1094.4
01-06-2025 19:15;283.2;28.8;1132.8
01-06-2025 19:30;297.6;28.8;1190.4
01-06-2025 19:45;304.8;28.8;1219.2
01-06-2025 20:00;319.2;28.8;1276.8
01-06-2025 20:15;326.4;28.8;1305.6
01-06-2025 20:30;321.6;33.6;1286.4
01-06-2025 20:45;319.2;28.8;1276.8
01-06-2025 21:00;316.8;28.8;1267.2
01-06-2025 21:15;321.6;28.8;1286.4
01-06-2025 21:30;316.8;28.8;1267.2
01-06-2025 21:45;314.4;28.8;1257.6
01-06-2025 22:00;309.6;28.8;1238.4
01-06-2025 22:15;307.2;26.4;1228.8
01-06-2025 22:30;302.4;28.8;1209.6
01-06-2025 22:45;285.6;26.4;1142.4
01-06-2025 23:00;268.8;28.8;1075.2
01-06-2025 23:15;254.4;24;1017.6
01-06-2025 23:30;247.2;26.4;988.8
01-06-2025 23:45;240;24;960
02-06-2025 00:00;230.4;26.4;921.6
02-06-2025 00:15;216;26.4;864
02-06-2025 00:30;206.4;24;825.6
02-06-2025 00:45;201.6;24;806.4
02-06-2025 01:00;196.8;28.8;787.2
02-06-2025 01:15;194.4;26.4;777.6
02-06-2025 01:30;184.8;24;739.2
02-06-2025 01:45;182.4;24;729.6
02-06-2025 02:00;182.4;26.4;729.6
02-06-2025 02:15;180;26.4;720
02-06-2025 02:30;175.2;26.4;700.8
02-06-2025 02:45;170.4;26.4;681.6
02-06-2025 03:00;170.4;26.4;681.6
02-06-2025 03:15;165.6;26.4;662.4
02-06-2025 03:30;165.6;24;662.4
02-06-2025 03:45;163.2;21.6;652.8
