Fecha;Energía Activa;Energía Reactiva;Potencia Activa
01-08-2025 00:15;201.6;33.6;806.4
01-08-2025 00:30;194.4;31.2;777.6
01-08-2025 00:45;184.8;28.8;739.2
01-08-2025 01:00;175.2;26.4;700.8
01-08-2025 01:15;170.4;26.4;681.6
01-08-2025 01:30;163.2;26.4;652.8
01-08-2025 01:45;158.4;28.8;633.6
01-08-2025 02:00;151.2;24;604.8
01-08-2025 02:15;146.4;24;585.6
01-08-2025 02:30;144;24;576
01-08-2025 02:45;141.6;24;566.4
01-08-2025 03:00;139.2;24;556.8
01-08-2025 03:15;136.8;24;547.2
01-08-2025 03:30;136.8;24;547.2
01-08-2025 03:45;134.4;24;537.6
01-08-2025 04:00;132;26.4;528
01-08-2025 04:15;132;26.4;528
01-08-2025 04:30;129.6;26.4;518.4
01-08-2025 04:45;132;24;528
01-08-2025 05:00;132;24;528
01-08-2025 05:15;132;26.4;528
01-08-2025 05:30;134.4;24;537.6
01-08-2025 05:45;136.8;24;547.2
01-08-2025 06:00;136.8;26.4;547.2
01-08-2025 06:15;141.6;21.6;566.4
01-08-2025 06:30;156;26.4;624
01-08-2025 06:45;156;26.4;624
01-08-2025 07:00;163.2;24;652.8
01-08-2025 07:15;163.2;26.4;652.8
01-08-2025 07:30;172.8;26.4;691.2
01-08-2025 07:45;172.8;31.2;691.2
01-08-2025 08:00;165.6;28.8;662.4
01-08-2025 08:15;148.8;36;595.2
01-08-2025 08:30;170.4;40.8;681.6
01-08-2025 08:45;170.4;38.4;681.6
01-08-2025 09:00;177.6;48;710.4
01-08-2025 09:15;177.6;50.4;710.4
01-08-2025 09:30;180;50.4;720
01-08-2025 09:45;182.4;48;729.6
01-08-2025 10:00;184.8;48;739.2
01-08-2025 10:15;189.6;48;758.4
01-08-2025 10:30;196.8;48;787.2
01-08-2025 10:45;194.4;52.8;777.6
01-08-2025 11:00;196.8;50.4;787.2
01-08-2025 11:15;201.6;50.4;806.4
01-08-2025 11:30;199.2;48;796.8
01-08-2025 11:45;194.4;45.6;777.6
01-08-2025 12:00;192;43.2;768
